City,State,Population,Latitude,Longitude
Auburn,ME,23488,44.0977778,-70.2316667
Auburn,ME,23488,44.0977778,-70.2316667
Avenger Village,TX,,32.4594444,-100.4552778
Avenger Village,TX,,32.4594444,-100.4552778
Azalea Park,FL,12347,28.5408333,-81.3008333
Azalea Park,FL,12347,28.5408333,-81.3008333
Bayonne,NJ,59878,40.6686111,-74.1147222
Bayonne,NJ,59878,40.6686111,-74.1147222
Belleville,NJ,36878,40.7936111,-74.1505556
Belleville,NJ,36878,40.7936111,-74.1505556
Brashear,TX,,33.1186111,-95.7333333
Brashear,TX,,33.1186111,-95.7333333
Bratt,FL,,30.9655556,-87.4275000
Bratt,FL,,30.9655556,-87.4275000
Brickhouse,GA,,33.7750000,-82.8108333
Brickhouse,GA,,33.7750000,-82.8108333
Bridgeport,CT,139090,41.1669444,-73.2052778
Bridgeport,CT,139090,41.1669444,-73.2052778
Brooklyn Center,MN,27718,45.0761111,-93.3325000
Brooklyn Center,MN,27718,45.0761111,-93.3325000
Calhoun,IL,,38.6502778,-88.0436111
Calhoun,IL,,38.6502778,-88.0436111
City,State,Population,Latitude,Longitude
Cleone,IL,,39.4230556,-87.9075000
Cleone,IL,,39.4230556,-87.9075000
Cody,WY,9161,44.5263889,-109.0558333
Colton,CA,52335,34.0738889,-117.3127778
Colton,CA,52335,34.0738889,-117.3127778
Comet,OH,,39.1158333,-82.5511111
Comet,OH,,39.1158333,-82.5511111
Coon Rapids,MN,62528,45.1200000,-93.2875000
Coon Rapids,MN,62528,45.1200000,-93.2875000
Cutler Ridge,FL,26831,25.5802778,-80.3469444
Cutler Ridge,FL,26831,25.5802778,-80.3469444
Davidsons Landing,AK,,65.2419444,-165.2716667
Davidsons Landing,AK,,65.2419444,-165.2716667
Deerfield,IL,19618,42.1711111,-87.8444444
Deerfield,IL,19618,42.1711111,-87.8444444
Deerhead,NY,,44.3522222,-73.5436111
Deerhead,NY,,44.3522222,-73.5436111
Dumas Junction,TX,,35.2127778,-101.8019444
Dumas Junction,TX,,35.2127778,-101.8019444
Dunn Creek,FL,,30.4861111,-81.5908333
Dunn Creek,FL,,30.4861111,-81.5908333
Edinburg,TX,60509,26.3013889,-98.1630556
Edinburg,TX,60509,26.3013889,-98.1630556
Eichelberger Crossing,TX,,31.6166667,-97.3077778
Eichelberger Crossing,TX,,31.6166667,-97.3077778
El Mirage,AZ,32308,33.6130556,-112.3238889
El Mirage,AZ,32308,33.6130556,-112.3238889
Ellsworth,ME,7055,44.5433333,-68.4200000
Ellsworth,ME,7055,44.5433333,-68.4200000
Ephrata,PA,13182,40.1797222,-76.1791667
Ephrata,PA,13182,40.1797222,-76.1791667
Euless,TX,53221,32.8369444,-97.0816667
Euless,TX,53221,32.8369444,-97.0816667
Flint Springs,KY,,37.3433333,-86.7136111
Flint Springs,KY,,37.3433333,-86.7136111
Fontana,CA,169160,34.0922222,-117.4341667
Fontana,CA,169160,34.0922222,-117.4341667
Fountain Valley,CA,56133,33.7091667,-117.9527778
Fountain Valley,CA,56133,33.7091667,-117.9527778
Frenchtown,NJ,,40.5261111,-75.0619444
Frenchtown,NJ,,40.5261111,-75.0619444
Gladstone,OR,12249,45.3808333,-122.5936111
Gladstone,OR,12249,45.3808333,-122.5936111
Greenock,TX,,31.7661111,-97.3452778
Greenock,TX,,31.7661111,-97.3452778
Greenville,TX,25382,33.1383333,-96.1105556
Greenville,TX,25382,33.1383333,-96.1105556
Gresham,OR,98851,45.4983333,-122.4302778
Gresham,OR,98851,45.4983333,-122.4302778
Harvey,LA,22383,29.9033333,-90.0772222
Harvey,LA,22383,29.9033333,-90.0772222
Highbank Town,IN,,38.5144444,-87.1502778
Highbank Town,IN,,38.5144444,-87.1502778
Highland Village,TX,15365,33.0916667,-97.0463889
Highland Village,TX,15365,33.0916667,-97.0463889
Hollis,NH,7711,42.7430556,-71.5922222
Hollis,NH,7711,42.7430556,-71.5922222
Howland,NY,,43.0791667,-76.6827778
Howland,NY,,43.0791667,-76.6827778
Indianapolis,IN,773283,39.7683333,-86.1580556
Indianapolis,IN,773283,39.7683333,-86.1580556
Jennings,LA,10547,30.2222222,-92.6569444
Jennings,LA,10547,30.2222222,-92.6569444
Kenai,AK,7610,60.5544444,-151.2583333
Kenai,AK,7610,60.5544444,-151.2583333
King,LA,,32.2405556,-91.1213889
King,LA,,32.2405556,-91.1213889
Kings Beach,CA,,39.2377778,-120.0255556
Kings Beach,CA,,39.2377778,-120.0255556
Kirkman,IA,,41.7286111,-95.2650000
Kirkman,IA,,41.7286111,-95.2650000
Lake Grove,NY,10715,40.8527778,-73.1155556
Lake Grove,NY,10715,40.8527778,-73.1155556
Lakeview Heights,GA,,33.6188889,-84.4505556
Lakeview Heights,GA,,33.6188889,-84.4505556
Leona,KS,,39.7872222,-95.3213889
Leona,KS,,39.7872222,-95.3213889
Little Mountain,OH,,41.6402778,-81.2819444
Little Mountain,OH,,41.6402778,-81.2819444
Los Ranchos de Albuquerque,NM,5184,35.1619444,-106.6422222
Los Ranchos de Albuquerque,NM,5184,35.1619444,-106.6422222
Mason,OH,30988,39.3600000,-84.3100000
Mason,OH,30988,39.3600000,-84.3100000
Maxey Town,TX,,31.4433333,-94.1225000
Maxey Town,TX,,31.4433333,-94.1225000
Milpitas,CA,62636,37.4283333,-121.9055556
Milpitas,CA,62636,37.4283333,-121.9055556
Misty Hills Numbers 1-7,UT,,40.6416667,-111.9955556
Misty Hills Numbers 1-7,UT,,40.6416667,-111.9955556
Moark,MO,,36.3825000,-89.9888889
Moark,MO,,36.3825000,-89.9888889
Mokelumne City,CA,,38.2530556,-121.4380556
Mokelumne City,CA,,38.2530556,-121.4380556
Mount Airy,MD,8714,39.3761111,-77.1550000
Mount Airy,PA,,41.0941667,-79.5222222
Mount Airy,MD,8714,39.3761111,-77.1550000
Mount Airy,PA,,41.0941667,-79.5222222
Mount Eden,CA,,37.6361111,-122.0988889
Mount Eden,CA,,37.6361111,-122.0988889
Natchez,MS,17118,31.5602778,-91.4030556
Natchez,MS,17118,31.5602778,-91.4030556
New Salem,KS,,37.3105556,-96.8950000
New Salem,KS,,37.3105556,-96.8950000
Oakman,AL,,33.7133333,-87.3886111
Oakman,AL,,33.7133333,-87.3886111
Opelousas,LA,22835,30.5333333,-92.0813889
Opelousas,LA,22835,30.5333333,-92.0813889
Orange,CT,13860,41.2783333,-73.0261111
Orange,CT,13860,41.2783333,-73.0261111
Owens,MO,,37.2188889,-92.4027778
Owens,MO,,37.2188889,-92.4027778
Penfield Center,NY,,43.1672222,-77.4313889
Penfield Center,NY,,43.1672222,-77.4313889
Perry,GA,11234,32.4580556,-83.7316667
Perry,GA,11234,32.4580556,-83.7316667
Pharr,TX,60687,26.1944444,-98.1833333
Pharr,TX,60687,26.1944444,-98.1833333
Pleasant Grove,UT,24449,40.3641667,-111.7377778
Pleasant Grove,UT,24449,40.3641667,-111.7377778
Reading,MA,23441,42.5255556,-71.0958333
Reading,MA,23441,42.5255556,-71.0958333
Richards Crossroads,AL,,31.7369444,-85.2644444
Richards Crossroads,AL,,31.7369444,-85.2644444
Richards Crossroads,AL,,31.7369444,-85.2644444
Rio Vista,VA,,37.5688889,-77.5230556
Rio Vista,VA,,37.5688889,-77.5230556
Rock Hill,SC,59766,34.9247222,-81.0252778
Rock Hill,SC,59766,34.9247222,-81.0252778
Rogers,NE,,41.4652778,-96.9147222
Rogers,NE,,41.4652778,-96.9147222
Roswell,GA,77218,34.0230556,-84.3616667
Roswell,GA,77218,34.0230556,-84.3616667
San Clemente,CA,62272,33.4269444,-117.6111111
San Clemente,CA,62272,33.4269444,-117.6111111
Sandfort,AL,,32.3380556,-85.2233333
Sandfort,AL,,32.3380556,-85.2233333
Seal Beach,CA,24404,33.7413889,-118.1038889
Seal Beach,CA,24404,33.7413889,-118.1038889
Selma,AL,18980,32.4072222,-87.0211111
Selma,AL,18980,32.4072222,-87.0211111
Shadow Oaks Addition,AR,,34.9555556,-91.9475000
Shadow Oaks Addition,AR,,34.9555556,-91.9475000
Sharp,NJ,,40.0922222,-74.7427778
Sharp,NJ,,40.0922222,-74.7427778
Siverly,OH,,39.3488889,-82.5000000
Siverly,OH,,39.3488889,-82.5000000
Snyder,TX,10600,32.7177778,-100.9172222
Snyder,TX,10600,32.7177778,-100.9172222
South Daytona,FL,14451,29.1655556,-81.0047222
South Daytona,FL,14451,29.1655556,-81.0047222
Sturgis,MI,11081,41.7991667,-85.4191667
Sturgis,MI,11081,41.7991667,-85.4191667
Summerville,AR,,33.5202778,-92.3555556
Summerville,SC,34958,33.0183333,-80.1758333
Summerville,AR,,33.5202778,-92.3555556
Summerville,SC,34958,33.0183333,-80.1758333
Tabernacle,VA,,37.4230556,-76.2966667
Tabernacle,VA,,37.4230556,-76.2966667
Travers,ID,,42.6091667,-113.7361111
Travers,ID,,42.6091667,-113.7361111
Uhlerstown,PA,,40.5252778,-75.0736111
Uhlerstown,PA,,40.5252778,-75.0736111
Warfield,GA,,33.2994444,-83.3838889
Warfield,GA,,33.2994444,-83.3838889
Webster,TX,9038,29.5375000,-95.1180556
Webster,TX,9038,29.5375000,-95.1180556
Weis Library,PA,,42.0483333,-80.1700000
Weis Library,PA,,42.0483333,-80.1700000
West Hollywood,CA,37031,34.0900000,-118.3608333
West Hollywood,CA,37031,34.0900000,-118.3608333
Wild Peach Village,TX,,29.0833333,-95.6336111
Wild Peach Village,TX,,29.0833333,-95.6336111
Willow Springs,AZ,,36.1894444,-111.3930556
Willow Springs,AZ,,36.1894444,-111.3930556
Wolfton,SC,,33.5883333,-80.9819444
Wolfton,SC,,33.5883333,-80.9819444
Woodcock,PA,,41.7547222,-80.0858333
Woodcock,PA,,41.7547222,-80.0858333
